dose,time,canonical_smiles
10.0,6,CSc1cc2CCN(C(=O)Nc3cccnc3)c2cc1C(F)(F)F
10.0,6,CCc1c(ncc2[nH]c3cc(OC)c(OC)cc3c12)C(=O)OC
10.0,6,CC(C)Cc1ccc(cc1)[C@H](C)C(O)=O
10.0,6,CCC1(C)CC(=O)NC(=O)C1
10.0,6,Cc1ccc(cc1)S(=O)(=O)\C=C\C#N
10.0,6,CC(C)n1nnc2cc(ccc12)C(O)=O
10.0,6,C1CCN(CC1)C1(CCCCC1)c1cc2ccccc2s1
10.0,6,CN(C)CCCSc1ccccc1NC(=O)C=Cc2ccccc2
10.0,6,COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC
10.0,6,COc1cccc(CCc2ccccc2OCC[C@@H]2C[C@@H](O)CN2C)c1
10.0,6,FC(F)(F)c1sc(cc1-c1ccccc1)-c1nc(no1)-c1cccc(c1)C(F)(F)F
10.0,6,Clc1cccc(NN=C(C#N)C#N)c1
10.0,6,CN1CCN(CC1)C2=Nc3cc(F)ccc3Cc4ccccc24
10.0,6,Cc1cc(c(O)c(C)c1CC1=NCCN1)C(C)(C)C
10.0,6,COc1cccc2c1cc([N+](=O)[O-])c3c(cc4OCOc4c23)C(=O)O
10.0,6,COc1ccccc1N1CCN(CCCCNC(=O)c2ccc3ccccc3c2)CC1
10.0,6,C[C@H](NC(=O)C(=C\c1ccc(O)c(O)c1)\C#N)c1ccccc1
10.0,6,Oc1ccc(C(=O)\C=C\c2ccc(O)c(O)c2)c(O)c1
10.0,6,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1
10.0,6,C[C@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(OC(=O)C)C(=O)COC(=O)C
10.0,6,CC(=O)OCCNC(=O)c1cccnc1
10.0,6,CCCn1c(C)c(C(=O)c2cccc3ccccc23)c4ccccc14
10.0,6,CCCCC\C=C/C\C=C/C\C=C/CCCCC(O)=O
10.0,6,COc1cc(C)cc(OC)c1[C@@H]1C=C(C)CC[C@H]1C(C)=C
10.0,6,C[C@@]12[C@H](CC[C@]1(O)[C@@H]1CC[C@@H]3C[C@@H](O)CC[C@]3(C)[C@H]1C[C@H]2O)C1=CC(=O)OC1
10.0,6,CCN(c1ccccc1)c1cc(NC)[n+](C)c(C)n1
10.0,6,CCCCC[C@H](O)/C=C/[C@@H]1[C@@H](C/C=C\CCCC(=O)O)[C@H]2CO[C@@H]1C2
10.0,6,N\C(Sc1ccccc1N)=C(C#N)/C(C#N)=C(\N)Sc1ccccc1N
10.0,6,CS(=O)(=O)Nc1ccc(Cc2noc(n2)-c2ccc3[nH]cc(CCN)c3c2)cc1
10.0,6,CCc1cccc(CC)c1N=C1NCCN1
10.0,6,COC(=O)[C@@H]1C[C@H](OC(C)=O)C(=O)[C@H]2[C@@]1(C)CC[C@H]1C(=O)O[C@@H](C[C@]21C)c1ccoc1
10.0,6,COc1ccc(C=CC(=O)Nc2ccccc2C(=O)O)cc1OC
10.0,6,Nc1nc(NCCc2ccc(O)cc2)nc2nc(nn12)-c1ccco1
10.0,6,CNCC[C@@H](Oc1ccccc1C)c1ccccc1
10.0,6,OC(=O)[C@@H](Cc1ccc(O)c(O)c1)OC(=O)\C=C\c1ccc(O)c(O)c1
10.0,6,C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](Oc3c(oc4cc(O)cc(O)c4c3=O)-c3ccc(O)c(O)c3)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O
10.0,6,CCN(CC)CCNC(=O)COc1ccc(OC)cc1
10.0,6,COc1cc(COc2cc(N)c(Cl)cc2C(=O)CCC2CCN(CCNS(C)(=O)=O)CC2)cc(OC)c1
10.0,6,Oc1ccc(Nc2nc(cs2)-c2ccc(Cl)cc2)cc1
10.0,6,CCCCCCCCCCCCCCCC(=O)NCCc1ccc(O)c(O)c1
10.0,6,O=c1cc(oc2c(cccc12)-c1ccccc1)N1CCNCC1
10.0,6,OC(=O)c1cc(ccc1O)N(Cc2ccccc2O)Cc3cc(O)ccc3O
10.0,6,COc1ccc(cc1)-c1oc2ccccc2c(=O)c1OC
10.0,6,COc1ccc(cc1)[C@@H]1Sc2ccccc2N(CCN(C)C)C(=O)[C@@H]1OC(C)=O
10.0,6,CC1=NN=C(c2ccc(N)cc2)c2cc3OCOc3cc2C1
10.0,6,COc1ccc(cc1)-c1cc(=O)c2c(OC)c(OC)c(OC)c(OC)c2o1
10.0,6,CNCCCC12CCC(c3ccccc13)c1ccccc21
10.0,6,COc1ccc(cc1)c2cc(=O)c3c(O)cc(O[C@H]4O[C@H](CO[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)[C@@H](O)[C@H](O)[C@H]4O)cc3o2
10.0,6,C(C1CCNCC1)c1c[nH]cn1
10.0,6,Oc1cc(O)cc(C=Cc2ccc(O)c(O)c2)c1
10.0,6,NC(=O)c1sc(cc1N)-c1ccsc1
10.0,6,CC(=CCCN1CCC(CC1)NC(=O)[C@@](O)(C2CCCC2)c3ccccc3)C
10.0,6,CCCN1CCC[C@@H]2Cc3n[nH]cc3C[C@@H]12
10.0,6,COc1ccc2[nH]c(cc2c1)C(=O)c1ccccc1
10.0,6,CC(=O)O[C@@]1(CC[C@H]2[C@@H]3C=C(C)C4=CC(=O)CC[C@@H]4[C@H]3CC[C@]12C)C(C)=O
10.0,6,CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)C[C@@H]2C/C(=C\CCCC(=O)O)/C[C@H]12
10.0,6,COC(=O)c1cc2c(cn1)[nH]c3ccccc32
10.0,6,COc1ccc2[nH]cc(CCN)c2c1
10.0,6,CNC(=C[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1
10.0,6,NC(=N)NC(=N)Nc1ccccc1
10.0,6,COc1c(C)c2COC(=O)c2c(O)c1CC=C(C)CCC(=O)O
10.0,6,COc1cccc(C=NC=Nc2cccc(OC)c2)c1
10.0,6,Cc1ccc(cc1)c2cn3c4CCCCc4sc3n2
10.0,6,[O-][N+](=O)c1ccc(Cl)c(c1)C(=O)Nc1ccncc1
10.0,6,COc1ccc2[C@H]3CC[C@@]4(C)[C@@H](CC[C@@]4(O)C#C)[C@@H]3CCc2c1
10.0,6,Cc1ccc(cc1)S(=O)(=O)NC(=O)NN1CCCCCC1
10.0,6,CC(C)(C(N)=N)\N=N\C(C)(C)C(N)=N
10.0,6,Fc1ccc(Nc2cc3C(=O)NC(=O)c3cc2Nc2ccc(F)cc2)cc1
10.0,6,COc1ccc2C[C@H]3N(C)CCc4cc(O)cc(c34)-c2c1O
10.0,6,COc1ccc2oc(-c3ccccc3)c(OC)c(=O)c2c1
10.0,6,Fc1ccc(cc1)C(OCCN1CCN(CCCc2ccccc2)CC1)c1ccc(F)cc1
10.0,6,CCn1c(=O)[nH]c2cc(Cl)c(Cl)cc12
10.0,6,Nc1nc[nH]n1
10.0,6,NC(=C(C#N)C#N)/C(=C/c1ccc2[nH]ccc2c1)/C#N
10.0,6,O=C1C=CC(=O)C2=C1C1c3ccccc3C2c2ccccc12
10.0,6,Cc1ccccc1NC(=N)Nc1ccccc1C
10.0,6,CC(C)Oc1cccc(c1)-n1c(CCc2c[nH]c3ccc(Br)cc23)nc2ccccc2c1=O
10.0,6,CCOC(=O)c1ncc2[nH]c3ccc(OCc4ccccc4)cc3c2c1COC
10.0,6,C(CN1CCN(CC=Cc2ccccc2)CC1)OC(c3ccccc3)c4ccccc4
10.0,6,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)NCc1ccc(O)c(OC)c1
10.0,6,CCCCNc1c(C(=O)OCC)c(C)nc2n(CC)ncc12
10.0,6,COC(=O)C=Cc1cccc(c1)N(Cc2ccc(cc2)c3ccc(cc3)N(C)C)C(=O)C4CCCCC4
10.0,6,Cc1ccc-2c(Cc3c(nn(c-23)-c2ccc(Cl)cc2Cl)C(=O)NC2CCCCC2)c1
10.0,6,CCOC(=O)/N=c\1/c[n+]([n-]o1)N2CCOCC2
10.0,6,Oc1ccc(Cl)cc1C(=O)Nc1ccc(cc1Cl)[N+]([O-])=O
10.0,6,C[C@H]1C[C@H](C)C(=O)[C@@H](C1)[C@H](O)CC1CC(=O)NC(=O)C1
10.0,6,[O-][N+](=O)c1cc(C(=O)NCC=C)c2nc(Nc3ccc(Cl)c(Cl)c3)[nH]c(=O)c2c1
10.0,6,CN(C)CCC=C1c2ccccc2COc3ccccc13
10.0,6,C1CC[C@@H](NC1)c2cccnc2
10.0,6,CN(C)CCN(C)CCc1ccc(Cl)c(Cl)c1
10.0,6,NC(=N)NC(=N)Nc1cccc(Cl)c1
10.0,6,CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@H](C[C@]12C)c1ccc(cc1)N(C)C
10.0,6,Cc1ccc(C=C2CNCC(=Cc3ccc(C)cc3)C2=O)cc1
10.0,6,CN(C)CCCN1c2ccccc2Sc2ccc(cc12)C(C)=O
10.0,6,C(c1c[nH]c2ccccc12)c1c[nH]c2ccccc12
10.0,6,COc1ccc(cc1O)[C@@H]2CC(=O)c3c(O)cc(O[C@@H]4O[C@H](CO[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)[C@@H](O)[C@H](O)[C@H]4O)cc3O2
10.0,6,CN1CCc2cc(O)cc-3c2[C@H]1Cc4ccc(O)c(O)c43
10.0,6,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO
10.0,6,CC(=O)c1c(O)c(C)c(O)c(Cc2c(O)c(C(=O)C=Cc3ccccc3)c4OC(C)(C)C=Cc4c2O)c1O
10.0,6,COc1cc(C)nn1-c1nc(C)cc(OC)n1
10.0,6,CC(=O)[C@H]1[C@@H](C[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C)C#N
10.0,6,Cc1nc(N)sc1CCN
10.0,6,CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCC(O)=O
10.0,6,CN1[C@H]2CC[C@@H]1C[C@@H](C2)OC(=O)[C@H](CO)c3ccccc3
10.0,6,OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1cnc2c(N[C@H]3CCC[C@@H]3O)ncnc12
10.0,6,CCCc1c(O)c(CC=O)ccc1OCCCOc2ccc(OCC(=O)O)cc2
10.0,6,NC(=N)NC(=O)c1nc(Cl)c(nc1N)N2CCCCCC2
10.0,6,Oc1ccc(Cl)cc1
10.0,6,COc1ccc2oc(cc(=O)c2c1)-c1ccccc1OC
10.0,6,Cc1nc2ccc(NC(=O)Nc3ccnc4cccnc34)cc2o1
10.0,6,COc1ccc(C=C(C#N)C#N)cc1
10.0,6,NC(=N)NCc1cccc(I)c1
10.0,6,NCCc1ccc(O)c(O)c1
10.0,6,[O-][N+]1=C(C(=O)c2ccccc12)c1ccccn1
10.0,6,OC(=O)c1ccccc1Nc1cccc(c1)C(F)(F)F
10.0,6,C[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@H](O[C@@H]3[C@@H](CO)O[C@@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O
10.0,6,Oc1cc2CCCN(Cc2cc1O)C(=S)NCCc1ccc(Cl)cc1
10.0,6,NCCNC(=O)c1ccc(Cl)cc1
10.0,6,Cc1ccc(C[N+](C)(C)C)o1
10.0,6,Cc1cc(=O)c2c(O)c(C)c(O)cc2o1
10.0,6,NC(=C(C#N)C(=C(N)Sc1ccccc1N)C#N)Sc2ccccc2N
10.0,6,COc1ccc(CCCn2ncc3c4nc(nn4c(N)nc23)c5ccco5)cc1
10.0,6,C[C@]12CC[C@H]3[C@@H](C=CC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@@]2(O)CCC(O)=O
10.0,6,CN\C(NCCSCc1csc(CN(C)C)n1)=C\[N+]([O-])=O
10.0,6,Oc1ccc(cc1)c2cc(=O)c3cc(O)ccc3o2
10.0,6,Oc1ccc(cc1O)\C=C(/C#N)C(=O)NCc1ccccc1
10.0,6,CC(C)COc1ccc(cc1C#N)-c1nc(C)c(s1)C(O)=O
10.0,6,Cc1nc2c(O)cccc2c(=O)[nH]1
10.0,6,Oc1ccccc1N1CC=C(NC1=O)c1cccc(c1)[N+]([O-])=O
10.0,6,Oc1ccc(C=C(C#N)C#N)cc1O
10.0,6,C(CN1CCN(CCOC(c2ccccc2)c2ccccc2)CC1)Cc1ccccc1
10.0,6,Oc1ccc(cc1)-c1cc(=O)c2ccc(O)cc2o1
10.0,6,CC(C)OC(=O)C(C)(C)Oc1ccc(cc1)C(=O)c1ccc(Cl)cc1
10.0,6,Cc1ccc(Cl)c(Nc2ccccc2C(O)=O)c1Cl
10.0,6,Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C
10.0,6,CC(C)(C)c1cc(cc(c1)C(C)(C)C)C(=O)C=Cc2ccc(cc2)C(=O)O
10.0,6,COC(=O)Nc1nc2ccc(Sc3ccccc3)cc2[nH]1
10.0,6,CNC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](CC(C)C)CC(=O)NO
10.0,6,CCOC(=O)CCC(=O)O[C@H]1[C@H](O[C@@H]2[C@@H](C)[C@H](O[C@H]3C[C@@](C)(OC)[C@@H](O)[C@H](C)O3)[C@@H](C)C(=O)O[C@H](CC)[C@@](C)(O)[C@H](O)[C@@H](C)C(=O)[C@H](C)C[C@@]2(C)O)O[C@H](C)C[C@@H]1N(C)C
10.0,6,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc12
10.0,6,C(Oc1ccccc1C1CC1)C1=NCCN1
10.0,6,C(CN1CCCCC1)Oc2ccc(cc2)c3cnc4c(cnn4c3)c5ccncc5
10.0,6,Oc1ccc2c(=O)cc(oc2c1)c3ccccc3
10.0,6,CC[N+](CC)(CC)CC(=O)Nc1c(C)cccc1C
10.0,6,NC(=O)C[C@H](NC(=O)Cc1ccc(O)cc1O)C(=O)O
10.0,6,COc1ccc(C(=O)c2ccccc2)c(O)c1
10.0,6,CCOC(=O)c1ccc(OC(=O)CCCCCNC(N)=N)cc1
10.0,6,Oc1ccc2c(c1)oc(cc2=O)-c1ccccc1O
10.0,6,Cc1cccc(n1)C#Cc1ccccc1
10.0,6,CN(C)C(=O)C(CCN1CCC(O)(CC1)c1ccc(Cl)cc1)(c1ccccc1)c1ccccc1
10.0,6,COc1cccc(-c2cc(=O)c3ccccc3o2)c1N
10.0,6,CC(=CCC/C(=C/CC/C(=C/CSCC(=O)O)/C)/C)C
10.0,6,Cn1cnnc1Sc1c(ncn1C)[N+]([O-])=O
10.0,6,C[C@@]12CC[C@H]3[C@@H](CC[C@@H]4C[C@@H](O)CC[C@@]43C)[C@@]2(O)CC[C@@H]1c5ccc(=O)oc5
10.0,6,CC[C@@]1(O)C(=O)OCc2c1cc1-c3nc4ccc(O)cc4cc3Cn1c2=O
10.0,6,Cc1ccc-2c(Cc3c(nn(c-23)-c2ccc(Cl)cc2Cl)C(=O)NN2CCCCC2)c1
10.0,6,CCc1cc(-c2n[nH]c(C)c2-c2ccc3OCCOc3c2)c(O)cc1O
10.0,6,CC(C)(CO)Cc1cc(c(O)c(c1)C(C)(C)C)C(C)(C)C
10.0,6,Cc1cccc(C=Cc2ccccc2)n1
10.0,6,NC(=N)NN=Cc1c(Cl)cccc1Cl
10.0,6,CCCCCCCCCCCCCCCC(=O)NCCO
10.0,6,COc1ccccc1N1CCN(CCCCN2C(=O)c3ccccc3C2=O)CC1
10.0,6,N[C@@](CC1c2ccccc2Oc3ccccc13)([C@H]4C[C@@H]4C(=O)O)C(=O)O
10.0,6,C[C@@H](O)CNC(C)(C)CC(=O)N[C@@H]1CCc2ccccc2N(Cc3ccc(cc3)c4ccccc4c5nn[nH]n5)C1=O
10.0,6,Cc1nc[nH]c1CCN
10.0,6,C[C@H]1[C@H]2[C@H](C[C@H]3[C@@H]4CC=C5C[C@H](CC[C@]5(C)[C@H]4CC[C@]23C)O[C@@H]6O[C@H](CO)[C@H](O)[C@H](O[C@@H]7O[C@H](CO)[C@@H](O)[C@H](O)[C@H]7O)[C@H]6O[C@@H]8O[C@@H](C)[C@H](O)[C@@H](O)[C@H]8O)N9C[C@@H](C)CC[C@H]19
10.0,6,CC(C)(Sc1cc(c(O)c(c1)C(C)(C)C)C(C)(C)C)Sc1cc(c(O)c(c1)C(C)(C)C)C(C)(C)C
10.0,6,CCC(CC)(CC(=O)Nc1cccc(C=Cc2nc(cs2)C3CCC3)c1)C(=O)O
10.0,6,COc1cc2c(C(=O)N(COc3cc(=O)n4cccc(OCCN5CCCCC5)c4n3)S2(=O)=O)c(c1)C(C)C
10.0,6,CC1=Nc2ccc(Cl)cc2S(=O)(=O)N1
10.0,6,CN([C@H](CN1CCCC1)c1ccccc1)C(=O)Cc1ccc(Cl)c(Cl)c1
10.0,6,CC(C)ON([C@H](C(C)C)C(=O)NO)S(=O)(=O)c1ccc(cc1)c2ccccc2
10.0,6,CC(=O)NCCc1c[nH]c2ccccc12
10.0,6,Cc1c[nH]c2ccccc12
10.0,6,Oc1ccc(Cl)cc1C(=O)Nc1cc(cc(c1)C(F)(F)F)C(F)(F)F
10.0,6,CC(C)c1cc(c(C)cc1OC(=O)N1CCCCC1)[N+](C)(C)C
10.0,6,CCN[C@H]1CN(CCCOC)S(=O)(=O)c2sc(cc12)S(N)(=O)=O
10.0,6,CSc1nc(NC2CCCC2)c(c(NC2CCCC2)n1)[N+]([O-])=O
10.0,6,CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC
10.0,6,Nc1ccc(\N=N\c2ccccc2)c(N)n1
10.0,6,COc1cc2ccc(=O)oc2c(O)c1O
10.0,6,O=S(=O)(N1CCCNCC1)c1cccc2cnccc12
10.0,6,C(COCc1ccccc1)Cc1cnc[nH]1
10.0,6,C[C@]12C[C@H](O)[C@@]3(F)[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1C[C@@H](O)[C@]2(O)C(=O)CO
10.0,6,C(C1=NCCN1)c1cccc2ccccc12
10.0,6,CC(=O)O[C@H]1[C@@H](O)[C@H]2C(C)(C)CC[C@@H](O)[C@]2(C)[C@@]3(O)C(=O)C[C@@](C)(O[C@]13C)C=C
10.0,6,Fc1ccc(cc1)C(CCCN1CCC2(CC1)N(CNC2=O)c1ccccc1)c1ccc(F)cc1
10.0,6,COC(=O)Nc1nc2ccc(cc2[nH]1)C(=O)c1ccccc1
10.0,6,CC1=CC(=O)c2ccccc2C1=O
10.0,6,CCCCC/C=C\C/C=C\C/C=C\CCCCCCC(=O)NCCO
10.0,6,COC(=O)c1c(C)[nH]c(C)c1C(=O)c1ccccc1Cc1ccccc1
10.0,6,Cn1nc(N)c2cn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c3ncnc1c23
10.0,6,ONC(=O)CCCCCCC(=O)Nc1ccccc1
10.0,6,Cc1nc(sc1CSc1ccc(OCC(O)=O)c(C)c1)-c1ccc(c(F)c1)C(F)(F)F
10.0,6,CN(CC#C)Cc1ccccc1
10.0,6,C[C@@]12CC[C@H]3[C@@H](CC[C@]4(O)C[C@@H](O)CC[C@]34C=O)[C@@]2(O)CC[C@@H]1C5=CC(=O)OC5
10.0,6,COc1ccc(cc1OC)-c1cc(=O)c2c(OC)c(OC)c(OC)cc2o1
10.0,6,CC(=CCC/C(=C/COc1ccc2ccc(=O)oc2c1)/C)C
10.0,6,NC(NCc1ccccc1)=NC(=O)c1nc(Cl)c(N)nc1N
10.0,6,COc1cc(\C=C(/C#N)C(N)=O)cc(CSc2nc3ccccc3s2)c1O
10.0,6,COc1cc(c(O)cc1C(C)(C)C)C(C)(C)C
10.0,6,COc1ccc(cc1)C(=O)N1CCCC1=O
10.0,6,OC(=O)[C@@H](S)[C@@H](S)C(O)=O
10.0,6,NCCCCCCNS(=O)(=O)c1cccc2c(Cl)cccc12
10.0,6,COc1ccc(cc1)C(COCCN2CCC[C@@H](C2)C(=O)O)(c3ccc(OC)cc3)c4ccc(OC)cc4
10.0,6,CNCCC=C1c2ccccc2CCc2ccccc12
10.0,6,COc1ccc2[C@@H](OC(=O)c2c1OC)[C@@H]1N(C)CCc2cc3OCOc3c(OC)c12
10.0,6,S=c1ccss1
10.0,6,Cc1cccc(Nc2ccccc2C(O)=O)c1C
10.0,6,CCN(CC)C(=O)c1cccc(C)c1
10.0,6,COc1ccc(cc1)c2c(O)c3c(OC)c4CCC(C)(C)Oc4cc3oc2=O
10.0,6,CN(C)c1ccc(/C=C\2/C(=O)Nc3ccccc23)cc1
10.0,6,COC(=O)C1=C(C)NC(C)=C(C1c1ccccc1[N+]([O-])=O)C(=O)OC
10.0,6,NS(=O)(=O)C#Cc1ccccc1
10.0,6,CC(=O)N1CC[N+](C)(C)CC1
10.0,6,NC(=N)NC(=O)c1nc(Cl)c(N)nc1N
10.0,6,Oc1cc(O)c2c(c1)oc(-c1ccc(O)c(O)c1)c(O)c2=O
10.0,6,Clc1cccc(Cl)c1N=C1NCCN1
10.0,6,C\C1=C/CC[C@@]2(C)O[C@H]2[C@H]2OC(=O)C(=C)[C@@H]2CC1
10.0,6,CC(=O)NCCCS(O)(=O)=O
10.0,6,C1CC1C(NC2=NCCO2)C3CC3
10.0,24,C[C@]12CCC3C(CCC4=C3CCC(=O)C4)C1CC[C@@]2(O)C#C
10.0,24,CCOC(=O)C1=C(C)NC(C)=C(C1c1cccc(c1)[N+]([O-])=O)C(=O)OC
10.0,24,COCCc1ccc(OCC(O)CNC(C)C)cc1
10.0,24,CC(C)[N+]1(C)C2CCC1CC(C2)OC(=O)C(CO)c1ccccc1
10.0,24,CN1CCc2cc3OCOc3cc2[C@H]1C4OC(=O)c5c6OCOc6ccc45
10.0,24,COc1ccc(CCN(C)CCCC(C#N)(C(C)C)c2ccc(OC)c(OC)c2)cc1OC
10.0,24,CN(CCc1ccc(Cl)c(Cl)c1)CC(O)COc1ccc(NS(C)(=O)=O)cc1
10.0,24,CN1CCCCC1CCN1c2ccccc2Sc2ccc(cc12)S(C)=O
10.0,24,COc1ccc2C3CC[C@@]4(C)C(CC[C@@]4(O)C#C)C3CCc2c1
10.0,24,CCOC(=O)C(CCc1ccccc1)NC2CCc3ccccc3N(CC(=O)O)C2=O
10.0,24,CCCCCC(O)/C=C/C=O
10.0,24,C[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@H](O[C@@H]3[C@@H](CO)OC(O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O
10.0,24,C[C@]12CCC3C(CCc4cc(O)ccc34)C1CC[C@@H]2O
10.0,24,CC(\C=C(C)\C=C\C(=O)NO)C(=O)c1ccc(cc1)N(C)C
10.0,24,COC1CC(C)CC2=C(OC)C(=O)C=C(NC(=O)\C(C)=C\C=C\C(OC)C(OC(N)=O)\C(C)=C\C(C)C1O)C2=O
10.0,24,C[C@H]1CC2C3CC[C@H](C(C)=O)[C@@]3(C)C[C@H](O)C2[C@@]2(C)CCC(=O)C=C12
10.0,24,NC(C(O)=O)c1cc(O)cc(O)c1
10.0,24,CN(C)CCC(c1ccccc1)c1ccccn1
10.0,24,NCC(CS(O)(=O)=O)c1ccc(Cl)cc1
10.0,24,CCN1C[C@]2(COC)CCC(OC)[C@]3(C4C[C@@]5(O)[C@H](OC(=O)c6ccc(OC)cc6)C4[C@](C[C@H]5OC)(OC(=O)C)[C@H]7[C@H](OC)C32)[C@@H]71
10.0,24,COc1ccc(C[C@H](N)C(=O)N[C@@H]2[C@@H](CO)OC([C@@H]2O)n2cnc3c(ncnc23)N(C)C)cc1
10.0,24,C[C@@]12CCC3C(CC[C@@H]4C[C@@H](O)CC[C@@]43C)[C@@]2(O)C[C@H](O)[C@@H]1C5=CC(=O)OC5
10.0,24,COC(=O)C1=C(C)NC(C)=C(C1C)C(=O)OCCSc1ccccc1
10.0,24,NC(C(=O)O)c1ccc(O)c(c1)C(=O)O
10.0,24,CC1(C)CC2C1CC[C@]1(C)CCC3C(CC(=O)O[C@]23C1)C(O)=O
10.0,24,COc1ccccc1OCC(O)COC(N)=O
10.0,24,CC(=O)[C@H]1CCC2C3CCC4=CC(=O)CC[C@]4(C)C3[C@@H](C[C@]12C)OC(=O)CCC(O)=O
10.0,24,COc1ccc(cc1OC1CCCC1)C1CNC(=O)C1
10.0,24,Oc1cc(O)c2C(=O)CC(Oc2c1)c3ccc(O)c(O)c3
10.0,24,CC(CCc1ccccc1)NC(C)C(O)c1ccc(O)cc1
10.0,24,CCCCC1(Cc2cc(OCCCC(O)=O)c(Cl)c(Cl)c2C1=O)C1CCCC1
10.0,24,C[C@]12CCC3C(CCC4=CC(=O)CC[C@H]34)C1CC[C@@]2(O)C#C
10.0,24,CC1(C)C2C=C[C@]3(C)C(CC[C@@]4(C)[C@@H](OC(=O)[C@H]5O[C@@]345)c3ccoc3)[C@@]2(C)C=CC1=O
10.0,24,CCC(C)N(C)C(=O)c1cc2ccccc2c(n1)-c1ccccc1Cl
10.0,24,COc1ccc2CC3N(CCc4cc(OC)c(OC)cc34)Cc2c1OC
